species	class	copy_number	bp	percent
dana	DNA	91.0	45881.0	0.000659302707167529
dana	DNA	627.0	161659.0	0.002323014239837745
dana	DNA	98.0	19181.0	0.00027562793370197627
dana	LTR	59.0	41423.0	0.0005952419528563143
dana	LTR	36.0	12169.0	0.00017486660368173451
dana	LTR	77.0	9505.0	0.00013658534538539622
dana	RC	176.0	85637.0	0.0012305901339052263
dana	RC	243.0	164322.0	0.0023612811282923804
dana	LTR	191.0	104196.0	0.0014972800260680424
dana	LTR	251.0	43379.0	0.0006233493632270492
dana	DNA	542.0	75421.0	0.0010837878310691182
dana	LTR	78.0	63931.0	0.0009186783499036049
dana	LTR	42.0	2727.0	3.918655832361657e-05
dana	LINE	77.0	3964.0	5.696205251001689e-05
dana	LTR	62.0	25004.0	0.00035930352193755356
dana	DNA	61.0	9877.0	0.00014193092649884885
dana	DNA	252.0	48839.0	0.0007018086989244993
dana	DNA	113.0	41093.0	0.0005904999050943805
dana	LTR	103.0	41870.0	0.0006016652720974791
dana	LINE	40.0	15857.0	0.0002278625798817704
dana	LTR	59.0	31138.0	0.0004474481309427109
dana	DNA	44.0	17802.0	0.00025581192199377413
dana	LTR	134.0	29318.0	0.00042129501904356086
dana	DNA	98.0	29380.0	0.0004221859492291363
dana	DNA	179.0	64121.0	0.0009214086198271426
dana	LTR	66.0	44971.0	0.000646226151217954
dana	LINE	29.0	16304.0	0.00023428589912293527
dana	DNA	61.0	38955.0	0.0005597771835337305
dana	DNA	107.0	37343.0	0.0005366129987087691
dana	LTR	116.0	88652.0	0.0012739152066392578
dana	LTR	152.0	52400.0	0.0007529797052282758
dana	LTR	35.0	32564.0	0.00046793952521094603
dana	LINE	163.0	211891.0	0.003044840128254286
dana	DNA	54.0	16506.0	0.00023718860714690688
dana	Chimera	33.0	10355.0	0.00014879971083280144
dana	LTR	33.0	4378.0	6.291116697498838e-05
dana	LINE	101.0	87457.0	0.0012567432458043763
dana	LINE	41.0	5086.0	7.308501490059181e-05
dana	LTR	155.0	46291.0	0.0006651943422656892
dana	LTR	21.0	3279.0	4.7118710943578556e-05
dana	LINE	18.0	4059.0	5.8327187471785714e-05
dana	LTR	25.0	2754.0	3.9574544049592965e-05
dana	LTR	11.0	2450.0	3.520611217193274e-05
dana	DNA	112.0	33941.0	0.00048772679723574255
dana	LTR	29.0	18321.0	0.00026326986983754276
dana	LTR	14.0	956.0	1.3737568667905184e-05
dana	LTR	77.0	25858.0	0.00037157536675177014
dana	DNA	62.0	28334.0	0.00040715509480797644
dana	LTR	47.0	8109.0	0.00011652504636824597
dana	LTR	27.0	5655.0	8.12614548295019e-05
dana	DNA	26.0	20738.0	0.0002980017772332821
dana	DNA	22.0	1706.0	2.451494994502745e-05
dana	DNA	30.0	13126.0	0.0001886185421913425
dana	DNA	35.0	3389.0	4.869939353088982e-05
dana	DNA	32.0	5792.0	8.323012314278957e-05
dana	LTR	31.0	5502.0	7.906286904896896e-05
dana	DNA	28.0	25277.0	0.0003632264887224261
dana	LINE	94.0	79788.0	0.0011465409297853754
dana	LTR	110.0	41581.0	0.0005975123878453613
dana	LTR	7.0	437.0	6.279620824136575e-06
dana	LTR	3.0	631.0	9.067370114485534e-06
dana	LTR	32.0	14361.0	0.0002063652966943372
dana	LINE	67.0	54863.0	0.0007883726253423454
dana	LTR	53.0	37960.0	0.000545479191039415
dana	Satellite/Simple_Repeat	23466.0	4336581.0	0.06231598250149888
dana	Satellite/Simple_Repeat	23747.0	4082922.0	0.05867094282500081
dbia	Chimera	13775.0	3161953.0	0.05750612384758934
dbia	Unknown	66241.0	10405217.0	0.18923864379484515
dbia	Chimera	1763.0	194411.0	0.003535733467048274
dbia	Chimera	10896.0	3976020.0	0.0723114791840651
dbia	RC	4926.0	751207.0	0.013662126785937692
dbia	RC	6869.0	1968064.0	0.03579298367938488
dbia	DNA	111.0	27731.0	0.0005043409311958464
dbia	Chimera	660.0	152971.0	0.0027820683201456786
dbia	Chimera	961.0	112080.0	0.0020383877814875214
dbia	RC	825.0	117261.0	0.002132614111750609
dbia	LTR	431.0	136480.0	0.0024821481479070035
dbia	LTR	329.0	98123.0	0.0017845532145155253
dbia	Chimera	2765.0	1182055.0	0.02149791639049101
dbia	Unknown	3569.0	451408.0	0.008209712273962519
dbia	Chimera	1217.0	241879.0	0.004399029248736797
dbia	LINE	145.0	90454.0	0.001645077876397861
dbia	DNA	87.0	8200.0	0.00014913258215736684
dbia	DNA	414.0	34282.0	0.0006234833148193719
dbia	RC	353.0	31435.0	0.0005717052097703447
dbia	LINE	45.0	11405.0	0.00020742159750058157
dbia	LINE	63.0	16017.0	0.0002912995815139689
dbia	DNA	235.0	35984.0	0.0006544374190671572
dbia	Chimera	2357.0	408428.0	0.007428039300654759
dbia	DNA	280.0	45397.0	0.0008256307112436565
dbia	LINE	142.0	106591.0	0.0019385598859434012
dbia	LINE	121.0	21385.0	0.0003889268621262549
dbia	Chimera	1578.0	437906.0	0.00796415274661023
dbia	LINE	21.0	38008.0	0.0006912477051996584
dbia	LTR	98.0	37804.0	0.0006875375775459874
dbia	LTR	950.0	1053337.0	0.019156934962426136
dbia	DNA	60.0	9209.0	0.0001674831645228282
dbia	LINE	1305.0	245120.0	0.004457972992489483
dbia	LTR	2864.0	1549589.0	0.028182220591786822
dbia	Chimera	1289.0	551831.0	0.010036095359083159
dbia	LINE	39.0	2903.0	5.279657146376048e-05
dbia	LINE	171.0	59633.0	0.0010845394233890558
dbia	DNA	139.0	19533.0	0.00035524472283900567
dbia	LTR	3121.0	2253982.0	0.04099294582880805
dbia	LTR	795.0	278429.0	0.005063760453352865
dbia	DNA	2085.0	1939985.0	0.03528231370689748
dbia	LINE	408.0	105809.0	0.001924337729937662
dbia	Chimera	400.0	106398.0	0.001935049814192624
dbia	DNA	260.0	84154.0	0.0015305004047403718
dbia	DNA	660.0	329958.0	0.006000913237009811
dbia	LINE	88.0	46858.0	0.000852201772528036
dbia	LTR	167.0	115985.0	0.0021094076270149016
dbia	LTR	178.0	68951.0	0.0012540049600405611
dbia	LINE	384.0	166722.0	0.0030321563856634775
dbia	DNA	63.0	7764.0	0.00014120309364265806
dbia	DNA	40.0	2147.0	3.904727486486178e-05
dbia	DNA	509.0	96085.0	0.0017474883117793406
dbia	LTR	1049.0	179139.0	0.0032579831262303095
dbia	Chimera	582.0	191896.0	0.0034899934128865937
dbia	DNA	65.0	10785.0	0.0001961457193374636
dbia	DNA	40.0	11202.0	0.00020372965674717359
dbia	DNA	419.0	147218.0	0.0026774390829321015
dbia	LTR	185.0	117309.0	0.0021334870829632373
dbia	DNA	5152.0	1336571.0	0.024308083471543167
dbia	LTR	71.0	20580.0	0.0003742864074144646
dbia	LTR	336.0	127459.0	0.0023180841206336365
dbia	LTR	260.0	104624.0	0.0019027862531258962
dbia	LINE	38.0	5427.0	9.870030772780853e-05
dbia	LINE	3424.0	2175200.0	0.03956014545228102
dbia	DNA	59.0	5201.0	9.459006826834939e-05
dbia	DNA	99.0	13620.0	0.0002477055815833337
dbia	LTR	451.0	235454.0	0.004282178414546421
dbia	LINE	539.0	166571.0	0.0030294101637237504
dbia	DNA	46.0	20332.0	0.00036977605614921743
dbia	LTR	21.0	11096.0	0.00020180184531928567
dbia	DNA	127.0	21359.0	0.0003884540027194145
dbia	LINE	167.0	138786.0	0.002524087139913697
dbia	DNA	147.0	48772.0	0.0008870114996315971
dbia	DNA	75.0	27611.0	0.0005021585031642752
dbia	LTR	139.0	15126.0	0.00027509505337955256
dbia	LTR	99.0	19875.0	0.0003614646427289837
dbia	LTR	409.0	126981.0	0.002309390782307878
dbia	LINE	99.0	36784.0	0.000668986939277632
dbia	LINE	220.0	39338.0	0.0007154362825495728
dbia	LTR	38.0	7425.0	0.00013503773445346936
dbia	LINE	927.0	674852.0	0.012273466016349186
dbia	Chimera	1994.0	742867.0	0.013510448037743492
dbia	LTR	125.0	21611.0	0.000393037101585714
dbia	DNA	45.0	7561.0	0.00013751115288925008
dbia	DNA	358.0	45722.0	0.0008315414538291618
dbia	LTR	61.0	11672.0	0.00021227749987082754
dbia	LTR	346.0	164919.0	0.00299936540448912
dbia	LTR	62.0	8086.0	0.0001470592755273742
dbia	LTR	59.0	6594.0	0.00011992442033483866
dbia	LTR	250.0	106898.0	0.0019441432643241708
dbia	DNA	49.0	22538.0	0.0004098963581296017
dbia	LINE	148.0	50684.0	0.0009217848529346318
dbia	LINE	777.0	159567.0	0.0029020291142810434
dbia	LTR	133.0	42167.0	0.0007668870233938644
dbia	LINE	40.0	5057.0	9.197115463046391e-05
dbia	LINE	957.0	126670.0	0.002303734656326056
dbia	LINE	982.0	99318.0	0.001806286560329922
dbia	LTR	440.0	218605.0	0.003975747332013558
dbia	LTR	1604.0	465395.0	0.008464092447942408
dbia	LTR	3421.0	1995543.0	0.03629274151171443
dbia	Unknown	470.0	103982.0	0.0018911102631569902
dbia	LTR	694.0	182005.0	0.003310106782384336
dbia	LTR	170.0	43321.0	0.0007878747062974743
dbia	LINE	109.0	29784.0	0.0005416786374359773
dbia	LTR	55.0	8484.0	0.0001542976618320854
dbia	DNA	64.0	8522.0	0.00015498876404208297
dbia	LTR	1097.0	424639.0	0.007722867140819769
dbia	Chimera	578.0	173559.0	0.003156500222762248
dbia	LTR	486.0	69047.0	0.0012557509024658181
dbia	RC	127.0	35897.0	0.000652855158744268
dbia	RC	138.0	62209.0	0.0011313888784667847
dbia	LTR	93.0	29900.0	0.0005437883178664962
dbia	LTR	47.0	22630.0	0.0004115695529538063
dbia	LINE	80.0	43557.0	0.0007921668147595644
dbia	LINE	378.0	127701.0	0.0023224853504973052
dbia	LINE	130.0	18457.0	0.00033567561815591704
dbia	LINE	182.0	56302.0	0.0010239588586126913
dbia	LTR	236.0	24780.0	0.00045067138851945736
dbia	Chimera	98.0	57475.0	0.0010452920926213
dbia	LTR	912.0	190636.0	0.003467077918555096
dbia	Chimera	957.0	266288.0	0.004842953297258647
dbia	LINE	181.0	77996.0	0.001418505472920242
dbia	LTR	31.0	3386.0	6.158084429083465e-05
dbia	LTR	238.0	53799.0	0.0009784370472541682
dbia	LTR	139.0	29482.0	0.000536186193556523
dbia	DNA	27.0	9208.0	0.0001674649776225651
dbia	LTR	1308.0	541566.0	0.009849406827882504
dbia	LTR	89.0	46141.0	0.000839161765039398
dbia	LTR	138.0	61171.0	0.0011125108759936935
dbia	DNA	38.0	18578.0	0.0003378762330877514
dbia	LTR	278.0	77636.0	0.0014119581888255284
dbia	LTR	217.0	56274.0	0.0010234496254053246
dbia	DNA	74.0	15225.0	0.0002768955565055988
dbia	LTR	29.0	4781.0	8.69515701578501e-05
dbia	LINE	217.0	43964.0	0.0007995688831666434
dbia	LINE	88.0	14807.0	0.00026929343219562574
dbia	LINE	273.0	37161.0	0.0006758434006768182
dbia	LINE	181.0	22989.0	0.0004180986501482569
dbia	LINE	104.0	32714.0	0.0005949662552068414
dbia	LINE	233.0	53562.0	0.000974126751891815
dbia	LINE	64.0	37122.0	0.0006751341115665576
dbia	DNA	26.0	26425.0	0.0004805888394522462
dbia	LTR	384.0	142015.0	0.002582812640863226
dbia	LTR	135.0	33636.0	0.0006117345772494136
dbia	LINE	35.0	16951.0	0.00030828614635969824
dbia	DNA	96.0	23755.0	0.0004320298157497865
dbia	LTR	272.0	46969.0	0.0008542205184572394
dbia	LTR	124.0	17988.0	0.0003271459619325262
dbia	LTR	66.0	45638.0	0.0008300137542070619
dbia	DNA	90.0	56091.0	0.0010201214226571785
dbia	DNA	61.0	12033.0	0.0002188429708658043
dbia	LINE	105.0	25458.0	0.0004630021068978348
dbia	LINE	101.0	25442.0	0.0004627111164936253
dbia	LINE	424.0	54728.0	0.000995332677598582
dbia	LINE	16.0	4201.0	7.640316800525587e-05
dbia	LTR	300.0	87160.0	0.001585170226931231
dbia	LTR	65.0	20494.0	0.00037272233399183855
dbia	LTR	164.0	64471.0	0.0011725276468619022
dbia	LTR	48.0	10812.0	0.00019663676564456712
dbia	LTR	62.0	5039.0	9.164379042572824e-05
dbia	LTR	50.0	25736.0	0.0004680580651709748
dbia	LTR	68.0	11125.0	0.0002023292654269154
dbia	LINE	90.0	18964.0	0.00034489637658930545
dbia	LINE	44.0	6357.0	0.0001156141249724855
dbia	DNA	508.0	85582.0	0.0015564712983160694
dbia	LTR	136.0	47292.0	0.0008600948872422187
dbia	DNA	219.0	56673.0	0.001030706198610299
dbia	DNA	328.0	50104.0	0.0009112364507820376
dbia	LTR	152.0	22909.0	0.0004166436981272094
dbia	LTR	293.0	226817.0	0.004125098156974083
dbia	Chimera	163.0	34944.0	0.0006355230427935399
dbia	LTR	33.0	3034.0	5.5179055398225735e-05
dbia	LTR	42.0	15211.0	0.0002766409399019155
dbia	LINE	117.0	15255.0	0.0002774411635134916
dbia	LTR	24.0	4984.0	9.064351091125809e-05
dbia	LTR	101.0	48138.0	0.0008754810048647957
dbia	LTR	50.0	14265.0	0.00025943613225302905
dbia	LTR	199.0	143255.0	0.002605364397189462
dbia	DNA	46.0	20447.0	0.00037186754967947317
dbia	DNA	42.0	20266.0	0.0003685757207318532
dbia	LTR	51.0	28700.0	0.000521964037550784
dbia	LTR	30.0	11423.0	0.00020774896170531725
dbia	LTR	100.0	20344.0	0.00036999429895237453
dbia	LTR	31.0	5428.0	9.871849462807161e-05
dbia	LTR	38.0	5985.0	0.0001088485980746147
dbia	Chimera	41.0	8232.0	0.00014971456296578584
dbia	RC	19.0	778.0	1.4149408404686757e-05
dbia	LTR	46.0	3264.0	5.936204245873724e-05
dbia	LTR	103.0	47124.0	0.0008570394879980189
dbia	LTR	16.0	2208.0	4.0156675780910485e-05
dbia	LTR	16.0	2439.0	4.435784974168509e-05
dbia	DNA	45.0	19506.0	0.00035475367653190214
dbia	LTR	403.0	180810.0	0.003288373436569939
dbia	LTR	19.0	7276.0	0.00013232788631426843
dbia	LINE	42.0	9882.0	0.00017972294839989014
dbia	DNA	43.0	9995.0	0.0001817780681296197
dbia	DNA	5.0	578.0	1.0512028352068054e-05
dbia	LTR	4.0	556.0	1.0111916546279995e-05
dbia	DNA	22.0	10477.0	0.0001905441540564308
dbia	LTR	39.0	10141.0	0.00018443335556803136
dbia	LTR	39.0	6820.0	0.00012403465979429778
dbia	LTR	40.0	26275.0	0.0004778608044127822
dbia	DNA	26.0	17319.0	0.00031497892565651665
dbia	LTR	21.0	10539.0	0.00019167174187274257
dbia	LTR	30.0	7230.0	0.00013149128890216613
dbia	LTR	49.0	3041.0	5.5306363700067386e-05
dbia	DNA	23.0	27072.0	0.0004923557639224677
dbia	DNA	4.0	749.0	1.3621988297057045e-05
dbia	LTR	7.0	710.0	1.2912699186796398e-05
dbia	LINE	59.0	42912.0	0.000780436264089869
dbia	LTR	28.0	6418.0	0.0001167235258885342
dbia	LTR	1.0	76.0	1.3822044199951073e-06
dbia	Satellite/Simple_Repeat	17491.0	2997150.0	0.054508868123530736
dbia	Satellite/Simple_Repeat	17307.0	2913168.0	0.052981495865635615
dbip	LTR	791.0	304776.0	0.006066281614548566
dbip	LTR	745.0	476015.0	0.00947463396970016
dbip	DNA	729.0	213669.0	0.004252881874881807
dbip	LTR	257.0	148360.0	0.0029529672294879693
dbip	Chimera	13559.0	5202587.0	0.10355263493906798
dbip	RC	2119.0	716493.0	0.014261123949565406
dbip	LINE	470.0	212849.0	0.004236560540774365
dbip	Unknown	42554.0	5941467.0	0.11825935121383255
dbip	LINE	1185.0	798443.0	0.0158922621570104
dbip	LINE	229.0	29511.0	0.0005873888912740594
dbip	LINE	216.0	113949.0	0.00226804841488895
dbip	LTR	56.0	27760.0	0.0005525368717348748
dbip	LINE	140.0	63106.0	0.0012560659880295753
dbip	LINE	87.0	28403.0	0.0005653351861630277
dbip	LINE	860.0	267398.0	0.005322307436172985
dbip	LTR	115.0	20870.0	0.0004153978571003904
dbip	LTR	316.0	85546.0	0.0017027132287259223
dbip	Chimera	4595.0	2172681.0	0.04324518598767289
dbip	LTR	843.0	657338.0	0.013083698926241323
dbip	LINE	1638.0	1361693.0	0.027103227322884615
dbip	LTR	1153.0	503991.0	0.010031470119687727
dbip	Chimera	4213.0	2422288.0	0.048213380185912334
dbip	LTR	152.0	61952.0	0.001233096695883248
dbip	LTR	444.0	362560.0	0.007216418163407645
dbip	Chimera	311.0	101731.0	0.00202486053668806
dbip	LINE	1323.0	1028959.0	0.020480467831536207
dbip	DNA	65.0	5575.0	0.00011096516786462273
dbip	LINE	4519.0	2197620.0	0.04374157348926497
dbip	Chimera	102.0	28628.0	0.000569813601009582
dbip	DNA	44.0	18062.0	0.000359507239815393
dbip	DNA	203.0	51102.0	0.0010171375799494081
dbip	DNA	1037.0	269192.0	0.005358015330549511
dbip	DNA	331.0	46177.0	0.0009191100549748312
dbip	RC	222.0	24022.0	0.0004781354730841197
dbip	RC	76.0	19589.0	0.000389900748574008
dbip	DNA	436.0	146620.0	0.0029183341546746163
dbip	DNA	347.0	118826.0	0.002365120544696262
dbip	DNA	130.0	47505.0	0.0009455426546024938
dbip	DNA	140.0	42733.0	0.0008505604517235737
dbip	Chimera	73.0	12573.0	0.0002502538216254532
dbip	RC	784.0	59512.0	0.001184530774880615
dbip	Chimera	1635.0	212489.0	0.004229395077019878
dbip	LTR	187.0	61091.0	0.0012159592950704335
dbip	DNA	639.0	138360.0	0.0027539265696411123
dbip	RC	269.0	60693.0	0.0012080374768085288
dbip	Chimera	2045.0	450116.0	0.008959138564762785
dbip	DNA	52.0	19165.0	0.0003814614245965013
dbip	DNA	90.0	6243.0	0.00012426108394239277
dbip	LTR	505.0	204987.0	0.004080074774002766
dbip	LTR	80.0	31414.0	0.0006252663288429163
dbip	LINE	47.0	10459.0	0.00020817662613382767
dbip	LTR	743.0	769109.0	0.015308396285415629
dbip	LTR	37.0	6781.0	0.00013496947144215368
dbip	Chimera	326.0	82460.0	0.0016412892810971822
dbip	RC	276.0	110265.0	0.002194721835801368
dbip	RC	134.0	61914.0	0.00123234034137583
dbip	LTR	98.0	5689.0	0.0001132342313868769
dbip	LTR	229.0	111020.0	0.0022097494056198055
dbip	LTR	63.0	15198.0	0.0003025019948352531
dbip	DNA	145.0	31687.0	0.0006307001388567356
dbip	LTR	438.0	270522.0	0.005384487738309142
dbip	LTR	155.0	100624.0	0.002002826735643013
dbip	LTR	133.0	52543.0	0.0010458193390333404
dbip	DNA	137.0	42255.0	0.0008410463081828939
dbip	LTR	463.0	76253.0	0.0015177447435302382
dbip	LTR	183.0	42815.0	0.0008521925851343179
dbip	LTR	83.0	24866.0	0.0004949345047751945
dbip	LTR	389.0	124394.0	0.002475946384098992
dbip	LINE	483.0	232896.0	0.004635577351569359
dbip	LINE	243.0	70061.0	0.0013944987669530643
dbip	LINE	559.0	264315.0	0.005260943200742199
dbip	LTR	144.0	7022.0	0.00013976635134446293
